AQSID,GMToff
000100110,-8
000100111,-8
000100119,-8
000100125,-8
000100127,-8
000100128,-8
000100132,-8
000100134,-8
000100135,-8
000100140,-8
000100304,-8
000101003,-8
000101005,-8
000101101,-8
000101202,-8
000101301,-8
000101401,-8
000101501,-8
000102001,-8
000102102,-8
000105301,-8
060890004,-8
060890007,-8
060890009,-8
060893003,-8
061030004,-8
160010010,-7
160010017,-7
160050015,-7
160050020,-7
160090010,-7
160090011,-7
160130004,-7
160150001,-7
160150002,-7
160170003,-7
160190011,-7
160210002,-8
160211008,-8
160230101,-7
160270002,-7
160490002,-7
160490003,-8
160499991,-7
160530003,-7
160550003,-8
160570005,-7
160590004,-7
160650002,-7
160690012,-7
160690013,-7
160790017,-8
160830007,-7
160850002,-7
300130001,-7
300290049,-7
300298001,-7
300310017,-7
300310019,-7
300490004,-7
300490026,-7
300530018,-7
300630024,-7
300630037,-7
300630038,-7
300810007,-7
300930005,-7
410010004,-8
410030013,-8
410090004,-8
410130100,-8
410170004,-8
410170120,-8
410190002,-8
410230002,-8
410250003,-8
410290019,-8
410290201,-8
410290203,-8
410330011,-8
410330036,-8
410330114,-8
410350004,-8
410370001,-8
410390059,-8
410390060,-8
410391007,-8
410391009,-8
410392013,-8
410399004,-8
410430009,-8
410432002,-8
410470041,-8
410510080,-8
410590121,-8
410610123,-8
410630001,-8
410650007,-8
410670004,-8
410670005,-8
410670111,-8
490030003,-7
490050007,-7
490110004,-7
490353006,-7
490353010,-7
490450004,-7
490494001,-7
490495010,-7
490570002,-7
490571003,-7
530010003,-8
530030004,-8
530050002,-8
530050003,-8
530070007,-8
530070010,-8
530070011,-8
530090013,-8
530090015,-8
530090017,-8
530110011,-8
530110022,-8
530110024,-8
530130002,-8
530150015,-8
530210002,-8
530251002,-8
530270011,-8
530272002,-8
530299999,-8
530310003,-8
530330010,-8
530330017,-8
530330023,-8
530330030,-8
530330031,-8
530330057,-8
530330080,-8
530331011,-8
530332004,-8
530350007,-8
530370002,-8
530410004,-8
530450007,-8
530470009,-8
530470010,-8
530470013,-8
530530012,-8
530530024,-8
530530029,-8
530530031,-8
530531018,-8
530570011,-8
530570015,-8
530579999,-8
530610005,-8
530610020,-8
530611007,-8
530630001,-8
530630021,-8
530630046,-8
530630047,-8
530639995,-8
530639997,-8
530650002,-8
530650005,-8
530670005,-8
530670013,-8
530710005,-8
530730005,-8
530750003,-8
530750005,-8
530750006,-8
530770005,-8
530770009,-8
530770015,-8
530770016,-8
TT1010002,-8
TT1010003,-8
530730015,-8
530650004,-8
530090009,-8
